# Date,Receipt_Count,lag1,lag2,lag3,lag4,dayofweek,quarter,month,year,dayofmonth,dayofyear,weekoftheyear,isFuture
2021-01-01,7564766,,,,,4,1,1,2021,1,1,53,False
2021-01-02,7455524,,,,,5,1,1,2021,2,2,53,False
2021-01-03,7095414,,,,,6,1,1,2021,3,3,53,False
2021-01-04,7666163,,,,,0,1,1,2021,4,4,1,False
2021-01-05,7771289,,,,,1,1,1,2021,5,5,1,False
2021-01-06,7473320,,,,,2,1,1,2021,6,6,1,False
2021-01-07,7832624,,,,,3,1,1,2021,7,7,1,False
2021-01-08,7765028,,,,,4,1,1,2021,8,8,1,False
2021-01-09,7385245,,,,,5,1,1,2021,9,9,1,False
2021-01-10,7392087,,,,,6,1,1,2021,10,10,1,False
2021-01-11,7738899,,,,,0,1,1,2021,11,11,2,False
2021-01-12,7840830,,,,,1,1,1,2021,12,12,2,False
2021-01-13,8122546,,,,,2,1,1,2021,13,13,2,False
2021-01-14,7694195,,,,,3,1,1,2021,14,14,2,False
2021-01-15,7200595,,,,,4,1,1,2021,15,15,2,False
2021-01-16,7744470,,,,,5,1,1,2021,16,16,2,False
2021-01-17,7610648,,,,,6,1,1,2021,17,17,2,False
2021-01-18,7880913,,,,,0,1,1,2021,18,18,3,False
2021-01-19,7250032,,,,,1,1,1,2021,19,19,3,False
2021-01-20,7666397,,,,,2,1,1,2021,20,20,3,False
2021-01-21,7742477,,,,,3,1,1,2021,21,21,3,False
2021-01-22,7807438,,,,,4,1,1,2021,22,22,3,False
2021-01-23,7603625,,,,,5,1,1,2021,23,23,3,False
2021-01-24,7572947,,,,,6,1,1,2021,24,24,3,False
2021-01-25,7598153,,,,,0,1,1,2021,25,25,4,False
2021-01-26,7194687,,,,,1,1,1,2021,26,26,4,False
2021-01-27,7787109,,,,,2,1,1,2021,27,27,4,False
2021-01-28,7631075,,,,,3,1,1,2021,28,28,4,False
2021-01-29,7750536,,,,,4,1,1,2021,29,29,4,False
2021-01-30,8059526,,,,,5,1,1,2021,30,30,4,False
2021-01-31,7838129,,,,,6,1,1,2021,31,31,4,False
2021-02-01,7714465,,,,,0,1,2,2021,1,32,5,False
2021-02-02,7766408,,,,,1,1,2,2021,2,33,5,False
2021-02-03,7832259,,,,,2,1,2,2021,3,34,5,False
2021-02-04,7506461,,,,,3,1,2,2021,4,35,5,False
2021-02-05,7816477,,,,,4,1,2,2021,5,36,5,False
2021-02-06,7360372,,,,,5,1,2,2021,6,37,5,False
2021-02-07,8039414,,,,,6,1,2,2021,7,38,5,False
2021-02-08,7858632,,,,,0,1,2,2021,8,39,6,False
2021-02-09,7810951,,,,,1,1,2,2021,9,40,6,False
2021-02-10,7579882,,,,,2,1,2,2021,10,41,6,False
2021-02-11,8127696,,,,,3,1,2,2021,11,42,6,False
2021-02-12,7748085,,,,,4,1,2,2021,12,43,6,False
2021-02-13,8117805,,,,,5,1,2,2021,13,44,6,False
2021-02-14,7780006,,,,,6,1,2,2021,14,45,6,False
2021-02-15,7916028,,,,,0,1,2,2021,15,46,7,False
